id,isPaid,createdAt,updatedAt,buyOrder,userId,coursesIds
ca6d2af1-a604-439e-be03-5ede19b2d54a,t,2024-08-08 01:40:35.582+00,2024-08-08 01:50:31.491+00,f0e5ee83882bfdc92d8c561af0,422ce7e8-683f-477e-9144-2be9b2f7fba4,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,f5fb2002-9ed8-4520-99ef-46df7e453375}"
9f82cbf8-2d10-4dee-aba1-b8da4ce7fa9f,t,2024-08-08 01:42:45.424+00,2024-08-08 01:52:14.188+00,cf1be0c7ab84c0c98ff9ded227,9f5fd77c-1dfe-4118-a3fd-3f39d1675ee6,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
7629d2d3-2389-4918-a160-87cd986b8882,t,2024-08-08 01:42:23.102+00,2024-08-08 06:19:52.552+00,0bd7aaede540dfb92dd26565ea,903cacdd-50e7-4277-be07-139c5549cdac,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,f5fb2002-9ed8-4520-99ef-46df7e453375}"
b0cfec41-8a8b-43c3-b7bb-87479ab10761,t,2024-08-08 01:41:48.166+00,2024-08-08 01:44:33.485+00,443093e099bc9eef15bfe8263a,5654124b-f9c1-413f-9241-024cabebe56c,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec,f5fb2002-9ed8-4520-99ef-46df7e453375}"
cd1e9f4d-cd4d-421c-b7e3-1e55306829df,f,2024-08-08 01:47:07.662+00,2024-08-08 01:47:07.662+00,0fb54f19ea1277e8854b2a2c1d,7b751ae0-2cae-468e-b602-704a40991a84,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
d29ecefb-faec-4b58-b922-37c6155d62a5,t,2024-08-08 01:45:19.619+00,2024-08-08 01:48:50.633+00,977ce44873d7522a38f7564f23,db3b399c-ed14-46fe-aa04-783a344d3ba2,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a}"
a6ae6118-bfba-471a-a095-df98b180a7b9,t,2024-08-08 01:48:07.161+00,2024-08-08 01:50:15.05+00,d68549c66c40543a58a5510093,e99acf58-db8f-4a90-8cc1-ed495f2e098c,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a,f5fb2002-9ed8-4520-99ef-46df7e453375}"
0694e3c0-b375-40c2-9770-216aed0acab8,t,2024-08-08 01:45:26.999+00,2024-08-08 01:50:19.98+00,475ddb4afae22e62d73d6bbcd0,e646fbf2-4de5-4d9b-9ee2-6687b8ec3664,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a,3857b311-0df8-462f-a042-6a560f3528eb}"
5c781649-5084-4505-ab03-54e432398b89,t,2024-08-08 01:48:04.227+00,2024-08-08 01:51:28.769+00,0048a5c3d8c31e9a8c82eac572,f81b61ea-2abc-4aed-a629-a15c494a17d1,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
8262fdf9-c18c-4e9e-8704-6c9b81b7c1a2,t,2024-08-08 01:50:53.152+00,2024-08-08 01:53:33.321+00,5afe4986946cb76c1db4b640b2,25adafb2-cf46-4ca2-addb-45e92acd1490,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
